Air-popped,32
Caramel-coated,160
Microwave low fat and reduced salt,34
Oil-popped regular and microwaved,58
Corn-based puffs or twists cheese (CheesiesTM),205
Potato chips made from dried potatoes plain (PringlesTM),156
Potato chips baked plain,202
Potato chips flavoured,211
Potato chips plain,230
Tortilla chips nacho flavoured (DoritosTM),249
Tortilla chips plain,234
Banana chips,73
Beef jerky (22cm long),81
Beer nuts,186
Bits and bites snack bites (Bits & BitesTM),132
Fruit leather bar (Fruit to GoTM),49
Pretzels hard plain salted,19
Pretzels hard plain unsalted,191
Rice cakes plain,35
Sesame sticks salted,75
Soybeans roasted salted,205
Trail mix regular,176
Trail mix tropical,144
